ID,vehicles,persons,trips,CTFIP,ZONE_ID,,
2102,1,4,15,17031,1,,
2103,0,1,1.5,17031,1,,
2104,2,3,6,17031,1,,
2105,2,5,22,17031,1,,
2106,3,2,10,17031,1,,
2107,5,8,24,17031,1,,
2108,1,2,8,17031,1,,
2109,0,1,5,17031,1,,
2110,2,3,2,17031,1,,
2111,3,2,4,17031,1,,
2112,2,2,4,17089,4,,
2113,3,1,3,17031,1,,
2114,0,1,1,17031,1,,
2115,2,1,3,17031,1,,
2116,2,3,4.5,17031,1,,
2117,3,2,12,17097,6,,
2118,2,2,5.5,17031,1,,
2119,2,4,12,17043,2,,
2120,2,2,10.5,17031,1,,
2121,2,3,7,17111,7,,
2122,3,4,8,17031,1,,
2123,2,4,40,17031,1,,
2124,1,1,6,17043,2,,
2125,2,3,13.5,17031,1,,
2126,2,2,5,17043,2,,
2127,1,1,7,17031,1,,
2128,2,2,12,17031,1,,
2129,2,2,10,17031,1,,
2130,2,2,11.5,17043,2,,
2131,0,1,2,17031,1,,
2132,2,2,9,17043,2,,
2133,1,1,8,17031,1,,
2134,1,2,2,17031,1,,
2135,2,1,3,17043,2,,
2136,4,4,8,17097,6,,
2137,0,1,3,17031,1,,
2138,2,2,17,17093,5,,
2139,2,3,7,17031,1,,
2140,1,3,15,17031,1,,
2141,2,2,12.5,17031,1,,
2142,2,2,10,17031,1,,
2143,2,5,18,17031,1,,
2144,4,5,11.5,17031,1,,
2145,1,1,4,17031,1,,
2146,4,5,24,17031,1,,
2147,1,2,4,17031,1,,
2148,1,2,8,17031,1,,
2149,1,1,6,17031,1,,
2150,1,3,12,17097,6,,
2151,4,5,12,17031,1,,
2152,1,1,4,17031,1,,
2153,2,4,9.5,17031,1,,
2154,2,5,13,17089,4,,
2155,1,2,1.5,17031,1,,
2156,1,1,4,17031,1,,
2157,4,2,10,17031,1,,
2158,1,4,7.5,17031,1,,
2159,1,2,5,17031,1,,
2160,1,1,4,17043,2,,
2161,2,2,8,17197,8,,
2162,2,2,9,17043,2,,
2163,1,2,5.5,17031,1,,
2164,3,3,11.5,17031,1,,
2165,1,1,3,17031,1,,
2166,3,4,10.5,17197,8,,
2167,1,1,2,17043,2,,
2168,2,1,6,17031,1,,
2169,0,1,4.5,17031,1,,
2170,2,3,10,17089,4,,
2171,1,1,3,17031,1,,
2172,1,5,38,17031,1,,
2173,2,2,5,17031,1,,
2174,1,1,3.5,17031,1,,
2175,1,2,10,17031,1,,
2176,3,3,1,17043,2,,
2177,2,3,7,17043,2,,
2178,3,3,3,17043,2,,
2179,3,2,10.5,17043,2,,
2180,0,1,8,17031,1,,
2181,2,2,15,17063,3,,
2182,1,2,8.5,17031,1,,
2183,2,2,18,17097,6,,
2184,1,1,6,17043,2,,
2185,1,2,9,17031,1,,
2186,2,2,5.5,17031,1,,
2187,0,1,3.5,17031,1,,
2188,2,2,9,17111,7,,
2189,2,3,7,17031,1,,
2190,1,4,12,17043,2,,
2191,2,6,34,17043,2,,
2192,0,3,9,17031,1,,
2193,3,3,12,17111,7,,
2194,6,2,13.5,17097,6,,
2195,2,4,26,17031,1,,
2196,2,2,11.5,17031,1,,
2197,0,1,1.5,17031,1,,
2198,2,2,11,17031,1,,
2199,1,2,4,17031,1,,
2200,1,2,5.5,17031,1,,
2201,2,2,10,17031,1,,
2202,1,1,2,17093,5,,
2203,2,2,6,17031,1,,
2204,1,2,11,17031,1,,
2205,1,2,11,17031,1,,
2206,1,1,3.5,17031,1,,
2207,2,2,12,17031,1,,
2208,1,1,6,17031,1,,
2209,2,2,8,17031,1,,
2210,1,1,2,17031,1,,
2211,1,1,4,17031,1,,
2212,3,7,5,17031,1,,
2213,2,2,5,17043,2,,
2214,2,4,7,17043,2,,
2215,2,4,8,17097,6,,
2216,3,2,0,17031,1,,
2217,2,2,3,17043,2,,
2218,2,2,9,17197,8,,
2219,1,1,7,17031,1,,
2220,1,2,5,17031,1,,
2221,2,4,22,17089,4,,
2222,0,2,4.5,17031,1,,
2223,2,4,11,17043,2,,
2224,1,3,10.5,17031,1,,
2225,2,2,9.5,17089,4,,
2226,0,4,14,17031,1,,
2227,3,2,9,17097,6,,
2228,1,1,8,17031,1,,
2229,2,4,17,17031,1,,
2230,2,2,7,17111,7,,
2231,3,3,7.5,17197,8,,
2232,2,2,9,17031,1,,
2233,1,2,2,17031,1,,
2234,2,2,4,17111,7,,
2235,0,1,7.5,17031,1,,
2236,1,3,4.5,17031,1,,
2237,2,1,4,17197,8,,
2238,2,3,5,17031,1,,
2239,0,1,2,17031,1,,
2240,1,2,8,17031,1,,
2241,1,2,8.5,17089,4,,
2242,1,3,9,17031,1,,
2243,2,3,4,17031,1,,
2244,0,1,2,17031,1,,
2245,0,1,0,17031,1,,
2246,2,2,3,17031,1,,
2247,2,2,11.5,17031,1,,
2248,2,4,16,17031,1,,
2249,1,1,7,17031,1,,
2250,1,1,5,17031,1,,
2251,0,1,2,17031,1,,
2252,0,1,4,17031,1,,
2253,2,2,4,17031,1,,
2254,1,1,4,17031,1,,
2255,3,1,2.5,17031,1,,
2256,1,1,2,17031,1,,
2257,3,6,17,17031,1,,
2258,1,1,2,17031,1,,
2259,0,1,1,17031,1,,
2260,3,2,0,17031,1,,
2261,1,1,2,17031,1,,
2262,1,1,4,17031,1,,
2263,3,2,7,17031,1,,
2264,1,1,8,17031,1,,
2265,1,4,13,17031,1,,
2266,2,2,7.5,17031,1,,
2267,0,1,1,17031,1,,
2268,1,1,10,17031,1,,
2269,2,3,11,17031,1,,
2270,1,2,6,17031,1,,
2271,0,1,2,17031,1,,
2272,0,2,6,17031,1,,
2273,3,2,0,17031,1,,
2274,0,1,4,17031,1,,
2275,0,1,2,17031,1,,
2276,2,2,4,17031,1,,
2277,1,1,2,17031,1,,
2278,2,3,6.5,17031,1,,
2279,3,4,25,17031,1,,
2280,1,1,4,17031,1,,
2281,2,1,0,17031,1,,
2282,1,1,6,17031,1,,
2283,2,2,2.5,17031,1,,
2284,0,1,2,17031,1,,
2285,1,2,4,17031,1,,
2286,1,1,1,17031,1,,
2287,1,2,2,17031,1,,
2288,0,2,1,17031,1,,
2289,0,1,1,17031,1,,
2290,0,6,8.5,17031,1,,
2291,2,2,9.5,17031,1,,
2292,1,4,9,17031,1,,
2293,0,1,3,17031,1,,
2294,0,2,5,17031,1,,
2295,2,2,3,17031,1,,
2296,0,2,6,17031,1,,
2297,2,2,7,17031,1,,
2298,0,4,5,17031,1,,
2299,1,2,0,17031,1,,
2300,1,2,11,17031,1,,
2301,0,1,1,17031,1,,
2302,2,4,6,17031,1,,
2303,2,1,3,17031,1,,
2304,0,1,2.5,17031,1,,
2305,1,1,7,17031,1,,
2306,1,2,8,17031,1,,
2307,1,4,4,17043,2,,
2308,1,2,16,17031,1,,
2309,2,3,8,17031,1,,
2310,2,4,15,17031,1,,
2311,1,2,6,17031,1,,
2312,3,6,15,17089,4,,
2313,2,4,13,17031,1,,
2314,1,6,7,17031,1,,
2315,6,2,25,17097,6,,
2316,1,3,7,17031,1,,
2317,2,6,15.5,17111,7,,
2318,2,4,14,17031,1,,
2319,1,1,8,17031,1,,
2320,1,1,4,17089,4,,
2321,1,5,10.5,17197,8,,
2322,1,3,24.5,17031,1,,
2323,1,3,3,17031,1,,
2324,0,1,2,17031,1,,
2325,2,3,15,17031,1,,
2326,2,1,5,17031,1,,
2327,1,1,4,17031,1,,
2328,0,5,25,17031,1,,
2329,1,2,2,17089,4,,
2330,2,3,20,17031,1,,
2331,3,4,8,17111,7,,
2332,2,2,11,17031,1,,
2333,1,4,26,17031,1,,
2334,2,3,15,17043,2,,
2335,1,3,6,17031,1,,
2336,5,7,55,17043,2,,
2337,1,5,11.5,17031,1,,
2338,2,4,21,17031,1,,
2339,6,5,22.5,17111,7,,
2340,1,1,0,17089,4,,
2341,2,2,11,17093,5,,
2342,1,2,4,17031,1,,
2343,1,3,13,17031,1,,
2344,3,4,10,17031,1,,
2345,2,2,5.5,17031,1,,
2346,2,3,15,17031,1,,
2347,2,4,15,17031,1,,
2348,1,1,7,17111,7,,
2349,1,2,12,17031,1,,
2350,2,2,10.5,17031,1,,
2351,2,4,29,17197,8,,
2352,1,3,5,17089,4,,
2353,4,4,11.5,17197,8,,
2354,2,3,4.5,17089,4,,
2355,1,1,6,17097,6,,
2356,3,7,34,17031,1,,
2357,1,1,5,17093,5,,
2358,2,4,12.5,17089,4,,
2359,2,3,8,17197,8,,
2360,3,5,37.5,17197,8,,
2361,1,1,7,17197,8,,
2362,3,3,5,17089,4,,
2363,1,4,24,17031,1,,
2364,3,4,27,17097,6,,
2365,2,2,11,17043,2,,
2366,1,1,4,17031,1,,
2367,2,4,18,17197,8,,
2368,2,4,27.5,17197,8,,
2369,4,2,13,17089,4,,
2370,2,2,13,17197,8,,
2371,1,1,3.5,17089,4,,
2372,1,1,4,17031,1,,
2373,2,2,3,17097,6,,
2374,2,2,8,17097,6,,
2375,2,4,20,17197,8,,
2376,2,5,22,17031,1,,
2377,0,1,2,17031,1,,
2378,2,2,6,17031,1,,
2379,3,1,5.5,17197,8,,
2380,2,5,20,17197,8,,
2381,3,2,3,17097,6,,
2382,1,1,5,17031,1,,
2383,2,2,10,17197,8,,
2384,2,2,14,17089,4,,
2385,1,2,10,17031,1,,
2386,2,2,6,17031,1,,
2387,1,4,10,17197,8,,
2388,1,2,7.5,17031,1,,
2389,5,7,13.5,17197,8,,
2390,0,1,2,17031,1,,
2391,2,2,8,17111,7,,
2392,2,4,7,17097,6,,
2393,2,4,10,17031,1,,
2394,4,3,12,17097,6,,
2395,2,3,25.5,17197,8,,
2396,2,2,12,17031,1,,
2397,1,2,4,17031,1,,
2398,3,3,7,17043,2,,
2399,0,2,9,17031,1,,
2400,1,1,6.5,17031,1,,
2401,2,2,8,17031,1,,
2402,2,6,24,17197,8,,
2403,3,4,22,17111,7,,
2404,2,3,7.5,17031,1,,
2405,1,2,14,17031,1,,
2406,1,2,14,17093,5,,
2407,1,1,4,17031,1,,
2408,3,3,11,17197,8,,
2409,2,2,13,17089,4,,
2410,2,4,12,17031,1,,
2411,2,2,6.5,17197,8,,
2412,4,3,13,17197,8,,
2413,0,1,6,17031,1,,
2414,2,4,16.5,17031,1,,
2415,1,2,4,17031,1,,
2416,2,3,15,17031,1,,
2417,1,2,9.5,17031,1,,
2418,2,2,9.5,17197,8,,
2419,1,1,4,17031,1,,
2420,2,1,5,17089,4,,
2421,2,2,5,17089,4,,
2422,1,1,3.5,17031,1,,
2423,1,1,0,17043,2,,
2424,1,2,0,17097,6,,
2425,1,2,2,17031,1,,
2426,1,1,2,17031,1,,
2427,3,4,14.5,17031,1,,
2428,2,2,16,17197,8,,
2429,2,5,16,17089,4,,
2430,1,1,2.5,17089,4,,
2431,2,2,19.5,17097,6,,
2432,2,5,27,17031,1,,
2433,2,2,2,17089,4,,
2434,2,3,12.5,17043,2,,
2435,2,3,16,17043,2,,
2436,2,4,15,17031,1,,
2437,2,2,7.5,17043,2,,
2438,2,2,16,17043,2,,
2439,2,6,12,17111,7,,
2440,4,4,26,17031,1,,
2441,2,3,8.5,17197,8,,
2442,3,3,11,17043,2,,
2443,2,5,20.5,17031,1,,
2444,2,2,2,17031,1,,
2445,1,1,1,17197,8,,
2446,5,2,12,17111,7,,
2447,1,2,12,17031,1,,
2448,1,2,12,17031,1,,
2449,2,2,7,17197,8,,
2450,1,1,6.5,17089,4,,
2451,2,2,10,17043,2,,
2452,2,2,9,17031,1,,
2453,2,5,14,17043,2,,
2454,2,3,8,17089,4,,
2455,2,3,8,17043,2,,
2456,3,3,14,17043,2,,
2457,1,1,12,17043,2,,
2458,1,1,3,17197,8,,
2459,1,1,5,17097,6,,
2460,1,1,4,17031,1,,
2461,2,2,2,17031,1,,
2462,0,2,2,17031,1,,
2463,1,1,9,17031,1,,
2464,2,4,16,17031,1,,
2465,2,4,25,17111,7,,
2466,1,1,4,17031,1,,
2467,1,1,4,17031,1,,
2468,3,2,8,17111,7,,
2469,2,2,24,17043,2,,
2470,0,1,4,17043,2,,
2471,2,4,19,17043,2,,
2472,4,2,4,17097,6,,
2473,2,2,5,17031,1,,
2474,2,4,2,17063,3,,
2475,1,1,2,17063,3,,
2476,1,2,11,17097,6,,
2477,4,2,14,17031,1,,
2478,1,2,5,17031,1,,
2479,1,1,5,17089,4,,
2480,2,2,7.5,17097,6,,
2481,2,2,5.5,17031,1,,
2482,1,1,2,17031,1,,
2483,1,1,2,17031,1,,
2484,2,1,4,17031,1,,
2485,3,3,6,17031,1,,
2486,1,1,7,17031,1,,
2487,2,2,8,17031,1,,
2488,2,4,21.5,17043,2,,
2489,2,2,16,17031,1,,
2490,1,3,7,17031,1,,
2491,2,2,23.5,17097,6,,
2492,1,2,15.5,17097,6,,
2493,2,3,9,17031,1,,
2494,2,3,10,17089,4,,
2495,1,1,6,17031,1,,
2496,0,1,0,17031,1,,
2497,1,1,7,17031,1,,
2498,3,2,7.5,17089,4,,
2499,2,3,16,17043,2,,
2500,2,1,4,17063,3,,
2501,3,3,16,17093,5,,
2502,2,4,17,17031,1,,
2503,2,1,5.5,17031,1,,
2504,2,2,6.5,17043,2,,
2505,2,2,11.5,17111,7,,
2506,3,4,29,17031,1,,
2507,2,2,4,17043,2,,
2508,2,2,5,17093,5,,
2509,1,1,8,17031,1,,
2510,1,1,5.5,17031,1,,
2511,2,1,2,17197,8,,
2512,1,1,5,17089,4,,
2513,4,5,25,17111,7,,
2514,1,1,0,17031,1,,
2515,2,1,0,17097,6,,
2516,2,2,0,17031,1,,
2517,3,3,3,17031,1,,
2518,2,2,5.5,17197,8,,
2519,1,1,4,17043,2,,
2520,2,2,2,17089,4,,
2521,0,1,2,17031,1,,
2522,3,4,32,17031,1,,
2523,1,1,8,17089,4,,
2524,2,2,9.5,17043,2,,
2525,3,4,16,17031,1,,
2526,1,1,2,17097,6,,
2527,1,1,2,17089,4,,
2528,3,3,9,17197,8,,
2529,4,4,26,17197,8,,
2530,1,1,5,17031,1,,
2531,2,2,11.5,17043,2,,
2532,1,1,6,17097,6,,
2533,2,2,7.5,17111,7,,
2534,1,1,5,17093,5,,
2535,1,1,3,17031,1,,
2536,1,1,6,17031,1,,
2537,3,6,29,17031,1,,
2538,3,5,14.5,17197,8,,
2539,1,1,5,17197,8,,
2540,2,2,5,17031,1,,
2541,2,3,18.5,17089,4,,
2542,0,1,2.5,17031,1,,
2543,2,2,10,17097,6,,
2544,3,2,6,17031,1,,
2545,2,2,1,17031,1,,
2546,2,3,12,17197,8,,
2547,2,2,8,17043,2,,
2548,2,2,6,17031,1,,
2549,2,2,14,17089,4,,
2550,1,3,9.5,17031,1,,
2551,2,2,6,17031,1,,
2552,4,5,13,17031,1,,
2553,1,2,8.5,17089,4,,
2554,2,2,2.5,17031,1,,
2555,1,1,4,17031,1,,
2556,2,4,11,17089,4,,
2557,1,2,9,17031,1,,
2558,2,2,13,17031,1,,
2559,1,1,8,17031,1,,
2560,1,2,15,17089,4,,
2561,2,2,4,17031,1,,
2562,2,2,6,17031,1,,
2563,3,4,34,17031,1,,
2564,2,2,8,17111,7,,
2565,1,1,2.5,17111,7,,
2566,2,4,11,17031,1,,
2567,4,6,14,17031,1,,
2568,1,1,13,17031,1,,
2569,1,1,7,17031,1,,
2570,2,2,13,17031,1,,
2571,2,2,8,17031,1,,
2572,2,2,6,17089,4,,
2573,1,1,6,17031,1,,
2574,1,1,2.5,17043,2,,
2575,3,3,19,17031,1,,
2576,1,1,3,17031,1,,
2577,2,5,27,17197,8,,
2578,0,1,7,17031,1,,
2579,1,1,2,17031,1,,
2580,2,5,11.5,17089,4,,
2581,2,4,35,17097,6,,
2582,1,2,4,17031,1,,
2583,2,3,5,17031,1,,
2584,2,2,2,17031,1,,
2585,1,1,2,17031,1,,
2586,2,3,12,17031,1,,
2587,3,3,14,17043,2,,
2588,1,1,2.5,17097,6,,
2589,3,2,8,17031,1,,
2590,1,4,9,17031,1,,
2591,2,2,8,17197,8,,
2592,2,3,12,17031,1,,
2593,2,2,10,17089,4,,
2594,2,2,12,17089,4,,
2595,1,2,4,17031,1,,
2596,1,1,7,17031,1,,
2597,4,4,12,17043,2,,
2598,3,4,22,17031,1,,
2599,3,5,21,17111,7,,
2600,2,4,16,17031,1,,
2601,2,2,13,17089,4,,
2602,8,2,9,17089,4,,
2603,2,2,8.5,17111,7,,
2604,2,3,19.5,17089,4,,
2605,3,6,32,17031,1,,
2606,1,2,7,17031,1,,
2607,1,1,5,17063,3,,
2608,0,1,4,17031,1,,
2609,0,1,2.5,17031,1,,
2610,1,1,0,17043,2,,
2611,2,2,6.5,17197,8,,
2612,2,1,4,17111,7,,
2613,2,2,14,17097,6,,
2614,1,2,7,17111,7,,
2615,1,1,5,17043,2,,
2616,3,3,6,17031,1,,
2617,1,1,4,17031,1,,
2618,1,1,5,17031,1,,
2619,1,1,2,17031,1,,
2620,4,3,10,17197,8,,
2621,2,2,8,17043,2,,
2622,1,1,2,17031,1,,
2623,1,1,3,17043,2,,
2624,2,3,30,17089,4,,
2625,2,3,22,17031,1,,
2626,1,1,5,17031,1,,
2627,2,4,15.5,17089,4,,
2628,1,1,7,17031,1,,
2629,2,2,11,17043,2,,
2630,2,2,6,17197,8,,
2631,6,2,11,17031,1,,
2632,1,2,11.5,17043,2,,
2633,0,1,0,17031,1,,
2634,2,2,7,17197,8,,
2635,2,2,14,17097,6,,
2636,1,1,7,17031,1,,
2637,2,4,10,17031,1,,
2638,2,5,28,17111,7,,
2639,4,3,21,17111,7,,
2640,2,2,2,17097,6,,
2641,2,2,17,17093,5,,
2642,3,3,28,17031,1,,
2643,1,2,7,17043,2,,
2644,1,2,5,17031,1,,
2645,4,1,4,17031,1,,
2646,2,2,10,17031,1,,
2647,0,1,1.5,17031,1,,
2648,1,1,2,17031,1,,
2649,1,1,3,17031,1,,
2650,2,2,9.5,17031,1,,
2651,2,3,21,17197,8,,
2652,1,2,8,17093,5,,
2653,1,1,7,17097,6,,
2654,0,1,0,17031,1,,
2655,2,2,0,17031,1,,
2656,3,2,13,17031,1,,
2657,2,1,4,17043,2,,
2658,3,2,4,17031,1,,
2659,2,2,4,17031,1,,
2660,3,4,8,17197,8,,
2661,1,1,2.5,17043,2,,
2662,2,2,3,17043,2,,
2663,2,3,11,17031,1,,
2664,3,3,16,17031,1,,
2665,2,2,5,17097,6,,
2666,2,2,6.5,17031,1,,
2667,1,1,2,17043,2,,
2668,1,1,3.5,17097,6,,
2669,1,1,6,17031,1,,
2670,1,2,4.5,17031,1,,
2671,2,2,6,17031,1,,
2672,1,1,2,17031,1,,
2673,1,1,7.5,17031,1,,
2674,3,1,3,17031,1,,
2675,0,1,3,17031,1,,
2676,3,3,17,17089,4,,
2677,2,2,8,17043,2,,
2678,2,4,21,17197,8,,
2679,2,3,18,17031,1,,
2680,2,2,8,17111,7,,
2681,1,1,3.5,17097,6,,
2682,0,1,3,17031,1,,
2683,1,1,1,17031,1,,
2684,1,2,7.5,17031,1,,
2685,1,1,2,17031,1,,
2686,2,2,16,17043,2,,
2687,2,2,4,17089,4,,
2688,0,1,2,17031,1,,
2689,3,4,33,17089,4,,
2690,0,1,2,17031,1,,
2691,0,1,14.5,17031,1,,
2692,4,4,17,17043,2,,
2693,2,2,6.5,17097,6,,
2694,4,2,16,17031,1,,
2695,2,2,7,17197,8,,
2696,1,1,7.5,17043,2,,
2697,2,2,12,17197,8,,
2698,3,3,19,17031,1,,
2699,2,5,4,17031,1,,
2700,1,2,8,17031,1,,
2701,1,1,7.5,17031,1,,
2702,3,2,6.5,17031,1,,
2703,5,4,10,17031,1,,
2704,2,2,4,17097,6,,
2705,2,2,13,17031,1,,
2706,1,2,7.5,17111,7,,
2707,2,4,12,17031,1,,
2708,2,2,12.5,17043,2,,
2709,1,1,5,17031,1,,
2710,1,4,22,17031,1,,
2711,2,4,10.5,17197,8,,
2712,3,3,5,17097,6,,
2713,3,3,9,17111,7,,
2714,1,2,6.5,17031,1,,
2715,2,2,8,17031,1,,
2716,2,2,11,17031,1,,
2717,3,3,12,17089,4,,
2718,2,3,6,17097,6,,
2719,2,2,3.5,17043,2,,
2720,1,1,5,17097,6,,
2721,3,2,2,17111,7,,
2722,1,1,7,17031,1,,
2723,2,2,5.5,17097,6,,
2724,3,4,7,17111,7,,
2725,1,1,4,17031,1,,
2726,2,3,20,17031,1,,
2727,2,2,12,17031,1,,
2728,1,1,4,17031,1,,
2729,1,1,3,17097,6,,
2730,2,2,10,17031,1,,
2731,2,2,4,17089,4,,
2732,1,1,5,17111,7,,
2733,2,2,3.5,17031,1,,
2734,3,2,9,17043,2,,
2735,2,2,8,17031,1,,
2736,3,4,17,17043,2,,
2737,1,1,7.5,17097,6,,
2738,2,2,4,17031,1,,
2739,2,2,3.5,17111,7,,
2740,1,1,3.5,17031,1,,
2741,1,1,2,17031,1,,
2742,1,4,27,17043,2,,
2743,2,2,10.5,17097,6,,
2744,1,1,7,17031,1,,
2745,2,1,8,17031,1,,
2746,1,5,25,17031,1,,
2747,2,6,20.5,17197,8,,
2748,2,2,13,17089,4,,
2749,1,4,8.5,17097,6,,
2750,1,1,1,17031,1,,
2751,1,1,4,17031,1,,
2752,3,5,15.5,17111,7,,
2753,2,2,10,17097,6,,
2754,1,1,6,17197,8,,
2755,0,1,3.5,17031,1,,
2756,3,1,10,17031,1,,
2757,2,2,14,17031,1,,
2758,2,4,20,17031,1,,
2759,2,1,5.5,17031,1,,
2760,1,2,4,17031,1,,
2761,2,2,5.5,17031,1,,
2762,2,5,13,17043,2,,
2763,1,1,0,17097,6,,
2764,0,1,2,17031,1,,
2765,3,3,11,17031,1,,
2766,2,2,5.5,17043,2,,
2767,2,2,9.5,17031,1,,
2768,1,1,5.5,17089,4,,
2769,4,1,4,17031,1,,
2770,2,1,5.5,17063,3,,
2771,3,6,3,17031,1,,
2772,1,1,5,17031,1,,
2773,1,1,0,17031,1,,
2774,2,2,8,17031,1,,
2775,2,1,5,17197,8,,
2776,2,3,11,17111,7,,
2777,2,2,14,17031,1,,
2778,1,2,0,17031,1,,
2779,1,3,10,17031,1,,
2780,1,2,11,17031,1,,
2781,2,3,16,17043,2,,
2782,4,3,4,17111,7,,
2783,2,2,11,17031,1,,
2784,2,2,4,17089,4,,
2785,0,1,0,17031,1,,
2786,0,1,6,17031,1,,
2787,1,1,11,17031,1,,
2788,2,2,9.5,17031,1,,
2789,3,3,6.5,17031,1,,
2790,3,4,8,17031,1,,
2791,2,3,5,17031,1,,
2792,1,1,2,17031,1,,
2793,2,2,2,17097,6,,
2794,1,2,10,17031,1,,
2795,2,3,23,17031,1,,
2796,1,1,4,17043,2,,
2797,2,2,13,17043,2,,
2798,1,3,6,17031,1,,
2799,1,1,2,17031,1,,
2800,2,3,16.5,17031,1,,
2801,1,1,8,17111,7,,
2802,1,1,4,17031,1,,
2803,1,2,1,17031,1,,
2804,1,2,4,17031,1,,
2805,0,1,2,17031,1,,
2806,2,3,10.5,17031,1,,
2807,5,3,7,17043,2,,
2808,2,2,5,17031,1,,
2809,2,4,22,17031,1,,
2810,1,1,3.5,17089,4,,
2811,1,3,7,17031,1,,
2812,3,3,4,17031,1,,
2813,1,1,4.5,17031,1,,
2814,2,2,10.5,17043,2,,
2815,5,4,14,17097,6,,
2816,3,4,17,17043,2,,
2817,2,1,6,17031,1,,
2818,2,2,6,17197,8,,
2819,3,3,12,17031,1,,
2820,2,2,10,17097,6,,
2821,2,2,5,17031,1,,
2822,2,4,2,17043,2,,
2823,1,1,0,17043,2,,
2824,2,3,12,17043,2,,
2825,2,2,15,17031,1,,
2826,1,1,0,17031,1,,
2827,1,1,4,17043,2,,
2828,2,5,34,17031,1,,
2829,3,2,7,17031,1,,
2830,1,1,4,17031,1,,
2831,2,3,19,17097,6,,
2832,3,2,8.5,17043,2,,
2833,1,1,6,17097,6,,
2834,1,1,2,17097,6,,
2835,2,4,26,17031,1,,
2836,3,5,20,17197,8,,
2837,2,4,20,17089,4,,
2838,2,1,3.5,17089,4,,
2839,2,3,12,17043,2,,
2840,2,4,10,17093,5,,
2841,1,1,5,17031,1,,
2842,2,3,2,17043,2,,
2843,1,1,2,17031,1,,
2844,4,4,8,17031,1,,
2845,4,4,13.5,17031,1,,
2846,1,2,8,17031,1,,
2847,1,1,2,17197,8,,
2848,2,3,20.5,17031,1,,
2849,1,2,13,17031,1,,
2850,2,2,9.5,17031,1,,
2851,1,3,12,17031,1,,
2852,1,1,2,17031,1,,
2853,1,4,5,17031,1,,
2854,2,2,8,17031,1,,
2855,2,2,16,17043,2,,
2856,3,2,4,17197,8,,
2857,1,2,6,17031,1,,
2858,1,1,3.5,17031,1,,
2859,1,2,2,17089,4,,
2860,1,2,10,17031,1,,
2861,3,5,30,17197,8,,
2862,3,2,7,17031,1,,
2863,1,1,5,17043,2,,
2864,3,3,12,17031,1,,
2865,0,1,0,17031,1,,
2866,1,1,2,17031,1,,
2867,4,4,29,17111,7,,
2868,3,5,16,17031,1,,
2869,4,2,7,17043,2,,
2870,1,1,5,17043,2,,
2871,4,2,11.5,17043,2,,
2872,1,3,19,17031,1,,
2873,3,3,11,17097,6,,
2874,0,1,2,17031,1,,
2875,1,2,13,17031,1,,
2876,1,5,11,17031,1,,
2877,2,2,10,17031,1,,
2878,2,5,21.5,17031,1,,
2879,0,1,2.5,17043,2,,
2880,2,5,14,17097,6,,
2881,1,1,5,17031,1,,
2882,2,2,17,17093,5,,
2883,1,1,4,17043,2,,
2884,1,1,3,17031,1,,
2885,2,3,22,17031,1,,
2886,2,5,3.5,17043,2,,
2887,2,5,29,17097,6,,
2888,0,1,1.5,17031,1,,
2889,2,2,15,17031,1,,
2890,1,1,1,17031,1,,
2891,1,2,0,17097,6,,
2892,0,1,3.5,17031,1,,
2893,2,4,27,17097,6,,
2894,3,2,9,17197,8,,
2895,2,2,11,17043,2,,
2896,1,1,2,17111,7,,
2897,0,1,5,17031,1,,
2898,2,2,14.5,17043,2,,
2899,1,3,13.5,17031,1,,
2900,1,1,2,17043,2,,
2901,2,2,8,17031,1,,
2902,1,1,2,17031,1,,
2903,2,3,6,17043,2,,
2904,1,1,3.5,17197,8,,
2905,1,1,4,17031,1,,
2906,1,1,2,17031,1,,
2907,2,4,14,17031,1,,
2908,0,1,1.5,17031,1,,
2909,2,2,8,17089,4,,
2910,2,3,13,17097,6,,
2911,2,4,13,17031,1,,
2912,1,1,11,17031,1,,
2913,1,1,4.5,17043,2,,
2914,1,2,13,17031,1,,
2915,2,2,6.5,17043,2,,
2916,1,1,2,17111,7,,
2917,2,3,18,17197,8,,
2918,1,1,0,17031,1,,
2919,0,1,2,17031,1,,
2920,1,1,2,17031,1,,
2921,2,2,3,17043,2,,
2922,2,2,7,17031,1,,
2923,2,2,8,17031,1,,
2924,1,1,5.5,17111,7,,
2925,4,1,3,17031,1,,
2926,1,2,9,17031,1,,
2927,1,1,4.5,17031,1,,
2928,0,1,5,17031,1,,
2929,2,2,4.5,17031,1,,
2930,2,1,4.5,17031,1,,
2931,2,2,7,17043,2,,
2932,2,2,14.5,17197,8,,
2933,2,2,6,17043,2,,
2934,1,3,0,17043,2,,
2935,2,2,5.5,17097,6,,
2936,2,2,15,17031,1,,
2937,2,3,10,17031,1,,
2938,1,1,3,17031,1,,
2939,3,5,14,17031,1,,
2940,1,1,2.5,17031,1,,
2941,1,1,20,17043,2,,
2942,2,4,17,17097,6,,
2943,3,4,18,17043,2,,
2944,1,1,7,17031,1,,
2945,3,4,7,17043,2,,
2946,2,2,8.5,17197,8,,
2947,2,2,4,17111,7,,
2948,2,4,22,17031,1,,
2949,2,2,7,17097,6,,
2950,0,1,3.5,17031,1,,
2951,3,3,14,17031,1,,
2952,2,1,3,17089,4,,
